HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA_Population_Type,pct_of_pop_below_poverty,Longitude,Latitude
Wabaunsee County,6209821009,Geographic HPSA,Dental Health,10,KS,Designated,05/03/1978,,,Geographic Population,6.3,,
Wallace County,6207156406,Geographic HPSA,Dental Health,6,KS,Designated,05/08/1978,,,Geographic Population,9.6,,
Bath,621011,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,10/02/1995,,Geographic Population,32.7,,
Blackey/Cornettsville,6219992109,Geographic HPSA,Dental Health,0,KY,Withdrawn,12/16/1992,05/30/1997,,Geographic Population,32.7,,
Bracken,621023,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,17,,
Butler,621031,Geographic HPSA,Dental Health,0,KY,Withdrawn,09/06/1978,02/14/1985,,Geographic Population,20,,
Carlisle County,6213667720,Geographic HPSA,Dental Health,11,KY,Designated,09/06/1978,,,Geographic Population,19.2,,
Carter,621043,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,25,,
Casey,621045,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,10/02/1995,,Geographic Population,34.8,,
Christian County,6217987123,Geographic HPSA,Dental Health,10,KY,Designated,12/16/2015,,,Geographic Population,20.3,,
Clay,621051,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,10/02/1995,,Geographic Population,52.7,,
Crittenden and Livington Counties,6216719026,Geographic HPSA,Dental Health,12,KY,Designated,10/09/2013,,,Geographic Population,18.8,,
Cumberland,6219992106,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,0,,
Elliott,621063,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,32,,
Estill,621065,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,05/30/1997,,Geographic Population,32,,
Fleming,621069,Geographic HPSA,Dental Health,0,KY,Withdrawn,02/14/1985,10/02/1995,,Geographic Population,28.7,,
Gallatin,621077,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,10/02/1995,,Geographic Population,19,,
Grant,621081,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,05/30/1997,,Geographic Population,16.4,,
Hancock,621091,Geographic HPSA,Dental Health,0,KY,Withdrawn,09/06/1978,02/14/1985,,Geographic Population,14,,
Hart,621099,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/24/1992,11/03/2011,,Geographic Population,,,
Johnson,621115,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,22,,
Knott,621119,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,05/30/1997,,Geographic Population,37.5,,
Laurel,621125,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,11/03/2011,,Geographic Population,,,
Leslie,621131,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,05/30/1997,,Geographic Population,35.6,,
Letcher,621133,Geographic HPSA,Dental Health,0,KY,Withdrawn,02/14/1985,10/02/1995,,Geographic Population,33.5,,
Lewis,621135,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,11/03/2011,,Geographic Population,,,
Lincoln,621137,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,27,,
Livingston,621139,Geographic HPSA,Dental Health,0,KY,Withdrawn,09/06/1978,02/14/1985,,Geographic Population,14,,
Logan,621141,Geographic HPSA,Dental Health,0,KY,Withdrawn,09/06/1978,10/02/1995,,Geographic Population,19.8,,
Magoffin,621153,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,35,,
Martin,621159,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,10/02/1995,,Geographic Population,33.8,,
Meade,621163,Geographic HPSA,Dental Health,0,KY,Withdrawn,02/14/1985,11/03/2011,,Geographic Population,,,
Morgan,621175,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,46.2,,
Mud Creek,6219992110,Geographic HPSA,Dental Health,0,KY,Withdrawn,06/16/1994,09/15/2000,,Geographic Population,37.8,,
Muhlenberg/McLean Counties,6219046124,Geographic HPSA,Dental Health,9,KY,Designated,11/29/2010,,,Geographic Population,20.7,,
Ohio,621183,Geographic HPSA,Dental Health,0,KY,Withdrawn,09/06/1978,02/14/1985,,Geographic Population,17,,
Pendleton,621191,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,17,,
Perry,621193,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,24,,
Pike,621195,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,19,,
Rockcastle,621203,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/24/1992,11/03/2011,,Geographic Population,,,
Spencer,621215,Geographic HPSA,Dental Health,0,KY,Withdrawn,09/06/1978,02/14/1985,,Geographic Population,18,,
Tejay/Pruden Fonde,6219992101,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,0,,
Trigg County,6218974348,Geographic HPSA,Dental Health,12,KY,Designated,06/29/2015,,,Geographic Population,15.5,,
Trimble,621223,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/12/1981,02/14/1985,,Geographic Population,13,,
Webster,621233,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/02/1978,02/14/1985,,Geographic Population,17,,
West End - Louisville,6219992103,Geographic HPSA,Dental Health,0,KY,Withdrawn,10/02/1980,12/22/2000,,Geographic Population,36.7,,
Western Harlan,6219992107,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,0,,
Williamsburg,6219992108,Geographic HPSA,Dental Health,0,KY,Withdrawn,08/04/1978,02/14/1985,,Geographic Population,0,,
Algiers/Fischer,6229992221,Geographic HPSA,Dental Health,0,LA,Withdrawn,03/28/2002,11/22/2005,,Geographic Population,51.2,,
Allen Parish,6227406040,Geographic HPSA,Dental Health,12,LA,Designated,11/24/2017,,,Geographic Population,16.8,,
Assumption Parish,6227352436,Geographic HPSA,Dental Health,17,LA,Designated,04/25/1994,,,Geographic Population,17,,
Bossier Parish,6225059391,Geographic HPSA,Dental Health,6,LA,Designated,11/15/2018,,,Geographic Population,15.5,,
Carville,6229992211,Geographic HPSA,Dental Health,0,LA,Withdrawn,05/05/1993,09/20/1999,,Geographic Population,29.8,,
Desire/Florida,6229992201,Geographic HPSA,Dental Health,0,LA,Withdrawn,07/24/1979,09/15/2000,,Geographic Population,52.6,,
Evangeline Parish,6226006673,Geographic HPSA,Dental Health,14,LA,Designated,12/26/2018,,,Geographic Population,27.9,,
Lafayette,622055,Geographic HPSA,Dental Health,0,LA,Withdrawn,11/22/2005,03/19/2010,,Geographic Population,,,
Lincoln,622061,Geographic HPSA,Dental Health,0,LA,Withdrawn,03/14/1980,10/02/1995,,Geographic Population,27.6,,
Lower 9th Ward,6229992206,Geographic HPSA,Dental Health,0,LA,Withdrawn,12/03/1980,09/15/2000,,Geographic Population,38.5,,
Martin Luther King Drive,6229992212,Geographic HPSA,Dental Health,0,LA,Withdrawn,10/08/1993,11/03/2011,,Geographic Population,,,
North Lake Charles,6229992208,Geographic HPSA,Dental Health,0,LA,Withdrawn,04/11/1983,09/15/2000,,Geographic Population,46,,
Orleans,622071,Geographic HPSA,Dental Health,0,LA,Withdrawn,11/22/2005,06/16/2011,,Geographic Population,,,
Plaquemines Parish,622075,Geographic HPSA,Dental Health,7,LA,Withdrawn,11/22/2005,07/02/2018,,Geographic Population,15,,
Vernon Parish,6223803081,Geographic HPSA,Dental Health,9,LA,Designated,11/24/2017,,,Geographic Population,13.1,,
Allston,6259992507,Geographic HPSA,Dental Health,0,MA,Withdrawn,12/27/1978,03/19/1984,,Geographic Population,0,,
Brockton,6259992557,Geographic HPSA,Dental Health,0,MA,Withdrawn,08/22/2006,06/29/2012,,Geographic Population,,,
North Dorchester,6259992506,Geographic HPSA,Dental Health,0,MA,Withdrawn,09/20/1978,06/29/2012,,Geographic Population,,,
South End,6259992501,Geographic HPSA,Dental Health,0,MA,Withdrawn,02/13/1979,05/08/1998,,Geographic Population,21.3,,
Worthington,6259992502,Geographic HPSA,Dental Health,0,MA,Withdrawn,09/20/1978,01/28/2008,,Geographic Population,6.6,,
Charles,624017,Geographic HPSA,Dental Health,0,MD,Withdrawn,09/10/2001,11/03/2011,,Geographic Population,,,
Constant Care,6249992408,Geographic HPSA,Dental Health,0,MD,Withdrawn,05/05/1978,10/02/1995,,Geographic Population,45,,
East Baltimore,6249992409,Geographic HPSA,Dental Health,0,MD,Withdrawn,05/05/1978,10/02/1995,,Geographic Population,49,,
Frederick County,6245769575,Geographic HPSA,Dental Health,11,MD,Designated,12/08/2017,,,Geographic Population,6.1,,
Hampden/Woodberry/Remington,6249992411,Geographic HPSA,Dental Health,0,MD,Withdrawn,05/05/1978,10/02/1995,,Geographic Population,18,,
Kent County,6247220531,Geographic HPSA,Dental Health,11,MD,Designated,03/12/2018,,,Geographic Population,11.7,,
North Harford,6247206258,Geographic HPSA,Dental Health,10,MD,Designated,12/28/2017,,,Geographic Population,5.1,,
Princess Anne,6249992406,Geographic HPSA,Dental Health,0,MD,Withdrawn,04/19/1978,08/14/1995,,Geographic Population,0,,
Queen Anne's County,6246268524,Geographic HPSA,Dental Health,15,MD,Designated,03/12/2018,,,Geographic Population,7.4,,
Talbot County,6244962197,Geographic HPSA,Dental Health,14,MD,Designated,12/10/2018,,,Geographic Population,10.9,,
West Baltimore,6249992410,Geographic HPSA,Dental Health,0,MD,Withdrawn,05/05/1978,10/02/1995,,Geographic Population,38,,
West Carroll County,6247450378,Geographic HPSA,Dental Health,10,MD,Designated,12/28/2017,,,Geographic Population,5.8,,
Allagash,6232089410,Geographic HPSA,Dental Health,10,ME,Designated,04/07/1993,,,Geographic Population,20.4,,
Belfast,6239992320,Geographic HPSA,Dental Health,0,ME,Withdrawn,08/07/1991,06/10/1996,,Geographic Population,16.5,,
Bingham Service Area,6231479236,Geographic HPSA,Dental Health,9,ME,Designated,09/14/1998,,,Geographic Population,16.7,,
Brooks,6239992305,Geographic HPSA,Dental Health,0,ME,Withdrawn,08/26/1981,01/04/1989,,Geographic Population,,,
Bucksport,6233545148,Geographic HPSA,Dental Health,9,ME,Designated,03/05/2014,,,Geographic Population,16,,
Danforth,6235255411,Geographic HPSA,Dental Health,22,ME,Designated,04/05/1983,,,Geographic Population,30.9,,
Dexter-Hartland,6239992316,Geographic HPSA,Dental Health,0,ME,Withdrawn,04/10/1978,01/12/1981,,Geographic Population,15,,
Gouldsboro,6239992308,Geographic HPSA,Dental Health,0,ME,Withdrawn,06/30/1983,11/18/1997,,Geographic Population,18.2,,
Howland/Old Town,6239992303,Geographic HPSA,Dental Health,0,ME,Withdrawn,07/31/1981,01/04/1989,,Geographic Population,,,
Island Falls,6232320998,Geographic HPSA,Dental Health,10,ME,Designated,05/26/2004,,,Geographic Population,16.4,,
Island Falls/Patten,6239992304,Geographic HPSA,Dental Health,0,ME,Withdrawn,07/31/1981,12/31/1996,,Geographic Population,15.8,,
Jackman,6236120291,Geographic HPSA,Dental Health,5,ME,Designated,09/14/1998,,,Geographic Population,13.2,,
Jay Service Area,6233008042,Geographic HPSA,Dental Health,11,ME,Designated,11/04/2008,,,Geographic Population,11.4,,
Jay-Livermore,6239992322,Geographic HPSA,Dental Health,0,ME,Withdrawn,10/18/1994,05/26/2004,,Geographic Population,17,,
Kingfield,6232506487,Geographic HPSA,Dental Health,9,ME,Designated,12/15/2011,,,Geographic Population,13,,
Madawaska,6239483999,Geographic HPSA,Dental Health,13,ME,Designated,08/09/1978,,,Geographic Population,15.2,,
Northern Penobscot-Piscataquis,6239992318,Geographic HPSA,Dental Health,0,ME,Withdrawn,07/07/1978,07/31/1981,,Geographic Population,13,,
Penobscot Bay,6239992319,Geographic HPSA,Dental Health,0,ME,Withdrawn,02/22/1982,09/28/2001,,Geographic Population,15.1,,
Pittsfield,6239992306,Geographic HPSA,Dental Health,0,ME,Withdrawn,10/14/1982,01/04/1989,,Geographic Population,,,
Portland Dental Care Analysis Area 4,6239992377,Geographic HPSA,Dental Health,0,ME,Withdrawn,03/17/2005,11/03/2011,,Geographic Population,,,
Presque Isle,6239992321,Geographic HPSA,Dental Health,0,ME,Withdrawn,05/06/1994,05/24/1999,,Geographic Population,16.1,,
Presque Isle Dental Care Analysis Area 43,6239992361,Geographic HPSA,Dental Health,0,ME,Withdrawn,05/20/2004,12/22/2008,,Geographic Population,13.6,,
Majuro,6688804234,Geographic HPSA,Dental Health,26,MH,Proposed For Withdrawal,12/22/2016,,,Geographic Population,52.7,,
Marshall Islands,6689996801,Geographic HPSA,Dental Health,0,MH,Withdrawn,01/01/1984,09/15/2000,,Geographic Population,90,,
Republic of the Marshall Islands,6684864122,Geographic HPSA,Dental Health,26,MH,Designated,12/31/2018,,,Geographic Population,80,,
Bay Mills,6269992601,Geographic HPSA,Dental Health,0,MI,Withdrawn,08/06/1980,06/08/1995,,Geographic Population,29.2,,
Cohoctah,6269992623,Geographic HPSA,Dental Health,0,MI,Withdrawn,11/29/1978,09/11/1985,,Geographic Population,0,,
Detroit Area #1,6269992611,Geographic HPSA,Dental Health,0,MI,Withdrawn,11/02/1978,09/11/1985,,Geographic Population,17,,
Detroit Area #2,6269992612,Geographic HPSA,Dental Health,0,MI,Withdrawn,11/02/1978,09/11/1985,,Geographic Population,14,,
Easton,6269992616,Geographic HPSA,Dental Health,0,MI,Withdrawn,11/29/1978,09/11/1985,,Geographic Population,0,,
Eloise (Dental Area #4),6269992603,Geographic HPSA,Dental Health,0,MI,Withdrawn,04/27/1978,09/11/1985,,Geographic Population,9,,
Gladwin,6269992624,Geographic HPSA,Dental Health,0,MI,Withdrawn,10/19/1978,09/11/1985,,Geographic Population,0,,
Harrison,6269992625,Geographic HPSA,Dental Health,0,MI,Withdrawn,10/19/1978,07/31/1995,,Geographic Population,26.1,,
Houghton Lake-St. Helen,6269992608,Geographic HPSA,Dental Health,0,MI,Withdrawn,05/02/1978,09/11/1985,,Geographic Population,0,,
Iron River/Crystal Falls (Mich/Wisc),6269992614,Geographic HPSA,Dental Health,0,MI,Withdrawn,03/24/1978,06/08/1981,,Geographic Population,14,,
Lake/Newaygo,6269992629,Geographic HPSA,Dental Health,0,MI,Withdrawn,01/23/1992,06/01/1995,,Geographic Population,25.2,,
North Flint/Beecher,6269992613,Geographic HPSA,Dental Health,0,MI,Withdrawn,11/29/1978,05/30/1997,,Geographic Population,30.3,,
Rifle River,6269992615,Geographic HPSA,Dental Health,0,MI,Withdrawn,05/10/1978,09/11/1985,,Geographic Population,0,,
Saginaw East Side,6269992602,Geographic HPSA,Dental Health,0,MI,Withdrawn,12/01/1978,09/30/1997,,Geographic Population,43.9,,
Sandusky,6269992620,Geographic HPSA,Dental Health,0,MI,Withdrawn,08/02/1978,09/11/1985,,Geographic Population,0,,
South Haven/Bangor,6269992636,Geographic HPSA,Dental Health,0,MI,Withdrawn,08/18/1993,06/01/1995,,Geographic Population,19.2,,
Southwest Detroit,6269992638,Geographic HPSA,Dental Health,0,MI,Withdrawn,08/05/1994,02/02/2001,,Geographic Population,38.7,,
Sterling-Standish,6269992626,Geographic HPSA,Dental Health,0,MI,Withdrawn,10/19/1978,09/11/1985,,Geographic Population,0,,
Sumpter (Dental Area #3),6269992604,Geographic HPSA,Dental Health,0,MI,Withdrawn,04/27/1978,09/11/1985,,Geographic Population,7,,
Aurora/Hoyt Lakes Rational Service Area 116,6274100419,Geographic HPSA,Dental Health,11,MN,Designated,10/02/2013,,,Geographic Population,10.8,,
Cook County,627031,Geographic HPSA,Dental Health,11,MN,Withdrawn,10/25/2013,06/26/2017,,Geographic Population,,,
Cook/Orr,6274691031,Geographic HPSA,Dental Health,9,MN,Designated,02/19/1999,,,Geographic Population,11,,
Far North Minneapolis,6279992744,Geographic HPSA,Dental Health,0,MN,Withdrawn,09/10/2001,11/03/2011,,Geographic Population,,,
Floodwood,6272226391,Geographic HPSA,Dental Health,11,MN,Designated,10/31/2003,,,Geographic Population,16.6,,
Lincoln County,6274684380,Geographic HPSA,Dental Health,6,MN,Designated,08/15/2013,,,Geographic Population,9.6,,
Littlefork/Big Falls,6279992710,Geographic HPSA,Dental Health,0,MN,Withdrawn,04/27/1999,06/05/2001,,Geographic Population,14.9,,
Marshall County,6276657377,Geographic HPSA,Dental Health,8,MN,Designated,01/08/2013,,,Geographic Population,7.7,,
Marshall Service Area,6277599800,Geographic HPSA,Dental Health,6,MN,Withdrawn,09/16/2016,07/02/2018,,Geographic Population,14.1,,
Murray County,6271150046,Geographic HPSA,Dental Health,10,MN,Designated,10/27/2017,,,Geographic Population,9.9,,
Riverview,6279992701,Geographic HPSA,Dental Health,0,MN,Withdrawn,05/30/1979,04/30/1980,,Geographic Population,0,,
Summit-Dale,6279992704,Geographic HPSA,Dental Health,0,MN,Withdrawn,06/18/1992,05/30/1997,,Geographic Population,20.6,,
Traverse County,6277020859,Geographic HPSA,Dental Health,11,MN,Designated,08/28/2017,,,Geographic Population,9.2,,
Watonwan County,6279007721,Geographic HPSA,Dental Health,7,MN,Designated,08/14/2013,,,Geographic Population,9.8,,
West Yellow Medicine County,627999270C,Geographic HPSA,Dental Health,11,MN,Withdrawn,04/22/2013,07/02/2018,,Geographic Population,15.9,,
Andrew County,629003,Geographic HPSA,Dental Health,13,MO,Withdrawn,05/15/2012,07/02/2018,,Geographic Population,,,
Arcadia Valley,6299992912,Geographic HPSA,Dental Health,0,MO,Withdrawn,05/31/1985,10/02/1995,,Geographic Population,21,,
Ava,6299992911,Geographic HPSA,Dental Health,0,MO,Withdrawn,05/31/1985,10/02/1995,,Geographic Population,25,,
Bates County,6294677187,Geographic HPSA,Dental Health,18,MO,Designated,10/31/2013,,,Geographic Population,20.3,,
Caldwell County,629025,Geographic HPSA,Dental Health,14,MO,Withdrawn,12/17/2013,07/02/2018,,Geographic Population,,,
Callaway County,629027,Geographic HPSA,Dental Health,10,MO,Withdrawn,11/20/2013,07/02/2018,,Geographic Population,,,
Carter County,629035,Geographic HPSA,Dental Health,17,MO,Withdrawn,09/17/1979,07/02/2018,,Geographic Population,30.5,,
Central Kansas City,6299992906,Geographic HPSA,Dental Health,0,MO,Withdrawn,08/02/1978,06/06/1994,,Geographic Population,0,,
Chariton County,629041,Geographic HPSA,Dental Health,12,MO,Withdrawn,03/26/2012,07/02/2018,,Geographic Population,,,
Clark,629045,Geographic HPSA,Dental Health,0,MO,Withdrawn,06/07/1978,12/18/2009,,Geographic Population,22.6,,
Crawford County,629055,Geographic HPSA,Dental Health,17,MO,Withdrawn,04/13/2007,07/02/2018,,Geographic Population,16,,
Dade County,629057,Geographic HPSA,Dental Health,16,MO,Withdrawn,01/09/2001,07/02/2018,,Geographic Population,13,,
Dallas County,629059,Geographic HPSA,Dental Health,11,MO,Withdrawn,10/17/1979,07/02/2018,,Geographic Population,17,,
Hickory,6299992908,Geographic HPSA,Dental Health,0,MO,Withdrawn,11/01/1978,05/31/1985,,Geographic Population,0,,
Hickory County,629085,Geographic HPSA,Dental Health,19,MO,Withdrawn,05/31/1985,07/02/2018,,Geographic Population,19,,
Hickory County Dh,6296328458,Geographic HPSA,Dental Health,20,MO,Designated,06/05/2017,,,Geographic Population,24,,
Hillsboro/Desoto,629999290D,Geographic HPSA,Dental Health,6,MO,Withdrawn,01/31/2013,07/02/2018,,Geographic Population,,,
Humansville,6299992907,Geographic HPSA,Dental Health,0,MO,Withdrawn,07/24/1978,05/31/1985,,Geographic Population,30,,
Iron County,629093,Geographic HPSA,Dental Health,17,MO,Withdrawn,06/12/1980,07/02/2018,,Geographic Population,18,,
Linn County,629115,Geographic HPSA,Dental Health,11,MO,Withdrawn,04/17/2007,07/02/2018,,Geographic Population,14,,
Madison County,629123,Geographic HPSA,Dental Health,15,MO,Withdrawn,03/21/2001,07/02/2018,,Geographic Population,17.3,,
Mercer County,6291868670,Geographic HPSA,Dental Health,15,MO,Designated,02/14/1985,,,Geographic Population,18,,
Miller,629131,Geographic HPSA,Dental Health,0,MO,Withdrawn,05/31/1985,10/02/1995,,Geographic Population,14,,
Montgomery County,629139,Geographic HPSA,Dental Health,15,MO,Withdrawn,01/09/2001,07/02/2018,,Geographic Population,11,,
Morgan County,6299212717,Geographic HPSA,Dental Health,16,MO,Designated,11/22/2010,,,Geographic Population,21.4,,
Oregon County,6298888842,Geographic HPSA,Dental Health,20,MO,Designated,02/22/2012,,,Geographic Population,25.9,,
Pemiscot County,629155,Geographic HPSA,Dental Health,21,MO,Withdrawn,09/17/1979,07/02/2018,,Geographic Population,31.2,,
Potosi,6299992913,Geographic HPSA,Dental Health,0,MO,Withdrawn,05/31/1985,10/02/1995,,Geographic Population,0,,
Ray,629177,Geographic HPSA,Dental Health,0,MO,Withdrawn,04/10/2007,06/29/2012,,Geographic Population,,,
Reynolds County,629179,Geographic HPSA,Dental Health,13,MO,Withdrawn,11/20/2006,07/02/2018,,Geographic Population,20,,
Ripley,629181,Geographic HPSA,Dental Health,0,MO,Withdrawn,09/17/1979,11/03/2011,,Geographic Population,,,
Ripley County,6297329978,Geographic HPSA,Dental Health,17,MO,Designated,10/13/2015,,,Geographic Population,24.5,,
Shelby County,6297041745,Geographic HPSA,Dental Health,12,MO,Designated,04/10/2007,,,Geographic Population,16.4,,
St. Clair County,629185,Geographic HPSA,Dental Health,17,MO,Withdrawn,09/13/2011,07/02/2018,,Geographic Population,,,
Sullivan,629211,Geographic HPSA,Dental Health,0,MO,Withdrawn,04/17/2007,06/29/2012,,Geographic Population,,,
Warren,629219,Geographic HPSA,Dental Health,0,MO,Withdrawn,05/31/1985,06/29/2012,,Geographic Population,,,
Washington and Iron,6299563540,Geographic HPSA,Dental Health,16,MO,Designated,06/05/2017,,,Geographic Population,23.2,,
Washington County,629221,Geographic HPSA,Dental Health,15,MO,Withdrawn,09/17/1979,07/02/2018,,Geographic Population,20,,
Wayne County,6291398318,Geographic HPSA,Dental Health,20,MO,Designated,09/17/1979,,,Geographic Population,22,,
Worth County,6298566467,Geographic HPSA,Dental Health,10,MO,Designated,09/22/2011,,,Geographic Population,13.7,,
Commonwealth Northern Mariana Islands,6694259651,Geographic HPSA,Dental Health,26,MP,Designated,06/30/1998,,,Geographic Population,52.3,,
De Soto,628033,Geographic HPSA,Dental Health,0,MS,Withdrawn,06/07/1979,10/02/1995,,Geographic Population,21.1,,
Gloster,6289992804,Geographic HPSA,Dental Health,0,MS,Withdrawn,08/26/1982,06/24/1992,,Geographic Population,49,,
Itawamba County,6289065281,Geographic HPSA,Dental Health,13,MS,Designated,06/07/1979,,,Geographic Population,16.9,,
Jackson Inner City,6289992803,Geographic HPSA,Dental Health,0,MS,Withdrawn,04/11/1980,05/30/1997,,Geographic Population,31.2,,
Pontotoc County,6284876978,Geographic HPSA,Dental Health,13,MS,Designated,06/07/1979,,,Geographic Population,16.1,,
Rankin,628121,Geographic HPSA,Dental Health,0,MS,Withdrawn,06/07/1979,08/13/1984,,Geographic Population,12,,
Tate County,6281135010,Geographic HPSA,Dental Health,7,MS,Designated,06/07/1979,,,Geographic Population,17.1,,
Western Hinds,6289992809,Geographic HPSA,Dental Health,0,MS,Withdrawn,09/15/1978,05/30/1997,,Geographic Population,35.6,,
Carbon,630009,Geographic HPSA,Dental Health,0,MT,Withdrawn,03/13/2002,11/03/2011,,Geographic Population,,,
Choteau County,6306006513,Geographic HPSA,Dental Health,18,MT,Designated,07/18/2018,,,Geographic Population,21.8,,
Chouteau County,630015,Geographic HPSA,Dental Health,20,MT,Withdrawn,03/28/2002,07/02/2018,,Geographic Population,21,,
Deer Lodge Service Area,6309993021,Geographic HPSA,Dental Health,0,MT,Withdrawn,06/22/2004,06/29/2012,,Geographic Population,,,
Fallon/Ekalaka,6307539309,Geographic HPSA,Dental Health,10,MT,Designated,02/01/2001,,,Geographic Population,7,,
Glacier,630035,Geographic HPSA,Dental Health,0,MT,Withdrawn,02/05/2001,06/29/2012,,Geographic Population,,,
Golden Valley County,6304270603,Geographic HPSA,Dental Health,6,MT,Designated,08/02/2018,,,Geographic Population,16.3,,
Golden Valley County,630037,Geographic HPSA,Dental Health,9,MT,Withdrawn,03/06/2001,07/02/2018,,Geographic Population,25,,
Jefferson,630043,Geographic HPSA,Dental Health,0,MT,Withdrawn,05/24/1978,06/29/2012,,Geographic Population,,,
Judith Basin County,6307730386,Geographic HPSA,Dental Health,9,MT,Designated,03/25/2002,,,Geographic Population,12.8,,
Liberty,630051,Geographic HPSA,Dental Health,0,MT,Withdrawn,06/07/1979,03/14/1984,,Geographic Population,16,,
Lincoln,630053,Geographic HPSA,Dental Health,10,MT,Withdrawn,03/15/2002,06/27/2013,,Geographic Population,,,
Madison County,630057,Geographic HPSA,Dental Health,14,MT,Withdrawn,05/24/1978,07/02/2018,,Geographic Population,12.1,,
Meagher County,6303469630,Geographic HPSA,Dental Health,11,MT,Designated,08/02/2018,,,Geographic Population,15.2,,
Musselshell,630065,Geographic HPSA,Dental Health,0,MT,Withdrawn,03/15/2002,06/29/2012,,Geographic Population,,,
Petroleum County,630069,Geographic HPSA,Dental Health,9,MT,Withdrawn,03/27/2002,07/02/2018,,Geographic Population,23,,
Roosevelt,630085,Geographic HPSA,Dental Health,0,MT,Withdrawn,06/07/1979,01/30/1981,,Geographic Population,16,,
Rosebud,6309993001,Geographic HPSA,Dental Health,0,MT,Withdrawn,05/24/1978,01/30/1981,,Geographic Population,0,,
Sanders County,630089,Geographic HPSA,Dental Health,12,MT,Withdrawn,03/06/2001,07/02/2018,,Geographic Population,17,,
Stillwater,630095,Geographic HPSA,Dental Health,0,MT,Withdrawn,03/06/2001,06/29/2012,,Geographic Population,,,
Stillwater County,6306852556,Geographic HPSA,Dental Health,10,MT,Designated,09/20/2018,,,Geographic Population,7.2,,
Wheatland County,6302520600,Geographic HPSA,Dental Health,10,MT,Designated,03/06/2001,,,Geographic Population,14,,
Alexander,637003,Geographic HPSA,Dental Health,0,NC,Withdrawn,05/30/1978,10/02/1995,,Geographic Population,9.8,,
Ashe,637009,Geographic HPSA,Dental Health,0,NC,Withdrawn,06/10/1982,10/02/1995,,Geographic Population,24.6,,
Caldwell,637027,Geographic HPSA,Dental Health,0,NC,Withdrawn,05/30/1978,06/10/1982,,Geographic Population,10,,
Camden,637029,Geographic HPSA,Dental Health,0,NC,Withdrawn,09/17/1979,10/02/1995,,Geographic Population,21.4,,
Currituck,637053,Geographic HPSA,Dental Health,0,NC,Withdrawn,09/17/1979,10/02/1995,,Geographic Population,19.1,,
Eastern Cumberland,6379993706,Geographic HPSA,Dental Health,0,NC,Withdrawn,11/21/1980,05/30/1997,,Geographic Population,17.7,,
Gates,637073,Geographic HPSA,Dental Health,0,NC,Withdrawn,09/17/1979,05/30/1997,,Geographic Population,20.8,,
Graham,637075,Geographic HPSA,Dental Health,0,NC,Withdrawn,06/10/1982,05/30/1997,,Geographic Population,24.5,,
Granville County,6372111537,Geographic HPSA,Dental Health,13,NC,Designated,12/17/2015,,,Geographic Population,15.8,,
Hyde,637095,Geographic HPSA,Dental Health,0,NC,Withdrawn,09/17/1979,12/31/1996,,Geographic Population,31,,
Johnston,637101,Geographic HPSA,Dental Health,0,NC,Withdrawn,11/29/1982,10/10/1984,,Geographic Population,17,,
