HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA Population Type,%of_Population_Below_100%_Poverty,Longitude,Latitude
Caribou County,116029,Geographic HPSA,Primary Care,0,ID,Withdrawn,03/26/2008,05/17/2012,,Geographic Population,,,
Caribou/Georgetown Service Area,1169991658,Geographic HPSA,Primary Care,0,ID,Withdrawn,11/20/2001,08/09/2007,,Geographic Population,9.4,,
Cascade,1169991638,Geographic HPSA,Primary Care,0,ID,Withdrawn,03/05/1996,06/01/2001,,Geographic Population,11.4,,
Challis,1169991618,Geographic HPSA,Primary Care,0,ID,Withdrawn,09/09/1981,05/18/1998,,Geographic Population,10.3,,
Clark County,1162422859,Geographic HPSA,Primary Care,9,ID,Designated,12/04/1984,,,Geographic Population,27.8,,
Clark Fork,1169991631,Geographic HPSA,Primary Care,0,ID,Withdrawn,11/08/1991,06/06/2001,,Geographic Population,13.7,,
Clearwater,116035,Geographic HPSA,Primary Care,0,ID,Withdrawn,05/20/1986,09/30/1988,,Geographic Population,12.2,,
Clearwater Service Area,1169991633,Geographic HPSA,Primary Care,0,ID,Withdrawn,12/18/1991,11/03/2011,,Geographic Population,,,
Custer County,1162533085,Geographic HPSA,Primary Care,18,ID,Designated,06/22/1988,,,Geographic Population,20.2,,
East Valley Sub-County,1162241754,Geographic HPSA,Primary Care,15,ID,Designated,07/27/2017,,,Geographic Population,10,,
Elk City,1169991637,Geographic HPSA,Primary Care,0,ID,Withdrawn,11/03/1995,05/14/2003,,Geographic Population,18,,
Elk River,1169991639,Geographic HPSA,Primary Care,0,ID,Withdrawn,06/13/1997,11/03/2011,,Geographic Population,,,
Elmore County,1163475312,Geographic HPSA,Primary Care,10,ID,Designated,05/01/1995,,,Geographic Population,16.9,,
Franklin County,1163218906,Geographic HPSA,Primary Care,9,ID,Designated,09/12/1986,,,Geographic Population,13.4,,
Fremont County,1166869489,Geographic HPSA,Primary Care,15,ID,Designated,10/01/1979,,,Geographic Population,11.9,,
Glenns Ferry,1169991601,Geographic HPSA,Primary Care,0,ID,Withdrawn,04/27/1979,05/01/1995,,Geographic Population,22,,
Grand View/Bruneau,1169991626,Geographic HPSA,Primary Care,0,ID,Withdrawn,06/22/1988,03/31/1998,,Geographic Population,21.8,,
Jefferson Service Area,1169991669,Geographic HPSA,Primary Care,0,ID,Withdrawn,03/22/2004,04/25/2008,,Geographic Population,16.7,,
Jerome,1169991617,Geographic HPSA,Primary Care,0,ID,Withdrawn,06/23/1980,03/22/1984,,Geographic Population,0,,
Kootenai/Shoshone,1169991603,Geographic HPSA,Primary Care,0,ID,Withdrawn,05/10/1979,03/22/1984,,Geographic Population,0,,
Lava Hot Springs,1169991628,Geographic HPSA,Primary Care,0,ID,Withdrawn,09/29/1989,10/02/1995,,Geographic Population,0,,
Lewis,116061,Geographic HPSA,Primary Care,0,ID,Withdrawn,12/04/1984,01/21/1994,,Geographic Population,15.6,,
Lincoln County,1163380021,Geographic HPSA,Primary Care,14,ID,Designated,06/23/1980,,,Geographic Population,16,,
Low Income - Jefferson Service Area,1169991668,Geographic HPSA,Primary Care,0,ID,Withdrawn,03/22/2004,04/25/2008,,Geographic Population,8.8,,
Malad City/Downey,1169991614,Geographic HPSA,Primary Care,0,ID,Withdrawn,06/30/1981,05/15/1998,,Geographic Population,13.4,,
Minidoka,1169991630,Geographic HPSA,Primary Care,0,ID,Withdrawn,11/08/1991,02/20/1998,,Geographic Population,9.7,,
Mud Lake,1169991624,Geographic HPSA,Primary Care,0,ID,Withdrawn,12/04/1984,03/31/1998,,Geographic Population,18.6,,
New Plymouth,1169991621,Geographic HPSA,Primary Care,0,ID,Withdrawn,03/22/1984,03/31/1997,,Geographic Population,22.3,,
Nez Perce,1169991611,Geographic HPSA,Primary Care,0,ID,Withdrawn,03/10/1980,06/28/1982,,Geographic Population,0,,
Nez Perce/Craigmont/Winchester,1169991629,Geographic HPSA,Primary Care,0,ID,Withdrawn,11/08/1991,03/27/2009,,Geographic Population,7.8,,
Northwest Owyhee,1169991619,Geographic HPSA,Primary Care,0,ID,Withdrawn,02/10/1982,03/31/1998,,Geographic Population,26.3,,
Oakley,1169991622,Geographic HPSA,Primary Care,0,ID,Withdrawn,03/22/1984,02/18/1998,,Geographic Population,15.8,,
Oneida County,1164687938,Geographic HPSA,Primary Care,16,ID,Designated,03/27/2009,,,Geographic Population,15.3,,
Owyhee County,116073,Geographic HPSA,Primary Care,16,ID,Withdrawn,03/31/1998,07/02/2018,,Geographic Population,,,
Payette,116075,Geographic HPSA,Primary Care,0,ID,Withdrawn,03/31/1997,03/13/2009,,Geographic Population,13.1,,
Priest River,1169991610,Geographic HPSA,Primary Care,0,ID,Withdrawn,12/14/1978,01/19/2005,,Geographic Population,16.3,,
Riggins/Elk City,1169991632,Geographic HPSA,Primary Care,0,ID,Withdrawn,11/08/1991,05/17/2012,,Geographic Population,,,
South Bannock Division,1169991651,Geographic HPSA,Primary Care,0,ID,Withdrawn,05/15/1998,02/16/2007,,Geographic Population,11.8,,
Spirit Lake/Athol,1169991627,Geographic HPSA,Primary Care,0,ID,Withdrawn,04/06/1989,12/31/1996,,Geographic Population,15.2,,
St. Maries,1169991612,Geographic HPSA,Primary Care,0,ID,Withdrawn,05/04/1981,02/17/1998,,Geographic Population,16.1,,
Stanley/Challis Service Area,1169991613,Geographic HPSA,Primary Care,0,ID,Withdrawn,04/11/1980,11/18/2005,,Geographic Population,15.8,,
Swan Valley Service Area,1162174036,Geographic HPSA,Primary Care,9,ID,Designated,05/15/1998,,,Geographic Population,7.6,,
Teton County,1162766783,Geographic HPSA,Primary Care,14,ID,Designated,06/22/1988,,,Geographic Population,11.3,,
Owyhee County,1161472930,High Needs Geographic HPSA,Primary Care,16,ID,Designated,10/28/2017,,,Geographic Population,27.4,,
Aledo/Alexis,1179991749,Geographic HPSA,Primary Care,0,IL,Withdrawn,03/09/1992,05/30/1997,,Geographic Population,10.1,,
Artesia/Loda/Pigeon Grove Service Area,117999178M,Geographic HPSA,Primary Care,0,IL,Withdrawn,01/22/2007,06/21/2011,,Geographic Population,,,
Auburn Gresham/Wash Heights/Chatham,1177477433,Geographic HPSA,Primary Care,10,IL,Designated,09/15/1978,,,Geographic Population,26.3,,
Austin,1179991716,Geographic HPSA,Primary Care,13,IL,Withdrawn,07/21/1978,11/06/2012,,Geographic Population,,,
Brown County,1171795548,Geographic HPSA,Primary Care,9,IL,Designated,05/30/1978,,,Geographic Population,9.9,,
Bureau/Putnam,117999176L,Geographic HPSA,Primary Care,0,IL,Withdrawn,09/13/2005,02/08/2011,,Geographic Population,,,
Calumet City/Burnham,1171283098,Geographic HPSA,Primary Care,9,IL,Designated,12/14/2005,,,Geographic Population,22.4,,
Carpentersville City,117999171B,Geographic HPSA,Primary Care,0,IL,Withdrawn,04/24/2001,11/03/2011,,Geographic Population,,,
Carroll County,1177928750,Geographic HPSA,Primary Care,15,IL,Designated,11/29/1978,,,Geographic Population,13.1,,
Carterville,1179991724,Geographic HPSA,Primary Care,0,IL,Withdrawn,01/10/1979,03/19/1984,,Geographic Population,11,,
Cass/Schuyler Counties,1176564362,Geographic HPSA,Primary Care,16,IL,Designated,02/07/2005,,,Geographic Population,14.7,,
Central Aurora,117999171A,Geographic HPSA,Primary Care,0,IL,Withdrawn,04/24/2001,02/28/2007,,Geographic Population,24.1,,
Chatham/Avalon Park/Gr. Grand Cr.,1179991701,Geographic HPSA,Primary Care,0,IL,Withdrawn,09/15/1978,06/22/1994,,Geographic Population,20.8,,
Chester/Red Bud Service Area,1178677192,Geographic HPSA,Primary Care,6,IL,Designated,01/04/2008,,,Geographic Population,7.4,,
Chicago Heights,1179991703,Geographic HPSA,Primary Care,12,IL,Withdrawn,10/26/1978,07/02/2018,,Geographic Population,21.4,,
Chicago Lawn,1179991713,Geographic HPSA,Primary Care,0,IL,Withdrawn,06/12/1978,03/19/1984,,Geographic Population,8,,
Chicago Lawn,1174109758,Geographic HPSA,Primary Care,9,IL,Designated,05/15/2008,,,Geographic Population,22.9,,
Chicago/South Lawndale,11799917A8,Geographic HPSA,Primary Care,13,IL,Withdrawn,12/23/2009,07/02/2018,,Geographic Population,26.3,,
Cicero,117999176S,Geographic HPSA,Primary Care,0,IL,Withdrawn,01/10/2006,06/29/2012,,Geographic Population,,,
Clark/Edgar,117999173G,Geographic HPSA,Primary Care,9,IL,Withdrawn,04/26/2005,08/14/2012,,Geographic Population,,,
Clay County,1176936549,Geographic HPSA,Primary Care,13,IL,Designated,08/15/2005,,,Geographic Population,13.8,,
Clinton County,1179087964,Geographic HPSA,Primary Care,10,IL,Designated,05/12/1978,,,Geographic Population,9.2,,
De Witt County,1175656573,Geographic HPSA,Primary Care,11,IL,Designated,09/28/2001,,,Geographic Population,12.6,,
Decatur Inner City,1179991720,Geographic HPSA,Primary Care,0,IL,Withdrawn,12/21/1978,10/02/1995,,Geographic Population,28,,
Douglas County,1171084627,Geographic HPSA,Primary Care,11,IL,Designated,10/19/2001,,,Geographic Population,11.1,,
Douglas/Armour Sq/Near South Side,1179991702,Geographic HPSA,Primary Care,0,IL,Withdrawn,12/22/1978,09/15/2000,,Geographic Population,48.1,,
East Chicago Heights,1179991710,Geographic HPSA,Primary Care,0,IL,Withdrawn,04/15/1978,06/26/1989,,Geographic Population,0,,
East Moline,1179991721,Geographic HPSA,Primary Care,0,IL,Withdrawn,12/21/1978,03/19/1984,,Geographic Population,0,,
East St. Louis,1172806952,Geographic HPSA,Primary Care,14,IL,Designated,05/12/1978,,,Geographic Population,40.7,,
Eastside Joliet,1179991728,Geographic HPSA,Primary Care,0,IL,Withdrawn,05/30/1979,03/31/1999,,Geographic Population,22.9,,
Eastside Joliet Service Area,117999175F,Geographic HPSA,Primary Care,14,IL,Withdrawn,08/09/2004,07/02/2018,,Geographic Population,21.4,,
Edwards/Wabash,117999176J,Geographic HPSA,Primary Care,0,IL,Withdrawn,08/15/2005,11/09/2010,,Geographic Population,,,
Elgin,117999172C,Geographic HPSA,Primary Care,0,IL,Withdrawn,09/11/2001,03/30/2007,,Geographic Population,16.8,,
Fayette County,1172944458,Geographic HPSA,Primary Care,14,IL,Designated,10/18/1978,,,Geographic Population,16.4,,
Galena/Hanover,1179991744,Geographic HPSA,Primary Care,0,IL,Withdrawn,02/23/1988,10/02/1995,,Geographic Population,7,,
Gallatin County,1177349226,Geographic HPSA,Primary Care,15,IL,Designated,03/26/1981,,,Geographic Population,16.2,,
Garfield Ridge,1179991714,Geographic HPSA,Primary Care,0,IL,Withdrawn,06/14/1978,03/19/1984,,Geographic Population,7,,
Hamilton County,1171507082,Geographic HPSA,Primary Care,9,IL,Designated,11/07/1978,,,Geographic Population,16.6,,
Hampshire Service Area,117999179R,Geographic HPSA,Primary Care,10,IL,Withdrawn,11/04/2008,06/27/2013,,Geographic Population,,,
Hancock,117067,Geographic HPSA,Primary Care,0,IL,Withdrawn,09/11/2001,06/16/2011,,Geographic Population,,,
Hardin,1179991734,Geographic HPSA,Primary Care,0,IL,Withdrawn,03/19/1981,02/23/1988,,Geographic Population,13,,
Hardin/Pope Counties,1174521319,Geographic HPSA,Primary Care,15,IL,Designated,08/15/1995,,,Geographic Population,20.9,,
Henderson County,1175723473,Geographic HPSA,Primary Care,13,IL,Designated,04/17/1978,,,Geographic Population,10.8,,
Henry/Stark Counties,1176900106,Geographic HPSA,Primary Care,12,IL,Designated,03/10/2005,,,Geographic Population,10.7,,
Herscher Service Area,117999179T,Geographic HPSA,Primary Care,0,IL,Withdrawn,02/11/2009,07/18/2011,,Geographic Population,,,
Highland Service Area,1177608084,Geographic HPSA,Primary Care,7,IL,Designated,12/23/2008,,,Geographic Population,6.1,,
Hoopeston,1176694436,Geographic HPSA,Primary Care,8,IL,Designated,09/06/1990,,,Geographic Population,14.4,,
Humboldt Park,1174612306,Geographic HPSA,Primary Care,9,IL,Designated,05/30/1979,,,Geographic Population,34.3,,
Jasper,117079,Geographic HPSA,Primary Care,0,IL,Withdrawn,10/27/1978,09/14/2009,,Geographic Population,9.9,,
Jasper Service Area,11799917A6,Geographic HPSA,Primary Care,0,IL,Withdrawn,09/14/2009,04/17/2012,,Geographic Population,,,
Jersey/Calhoun Counties,1177975338,Geographic HPSA,Primary Care,9,IL,Designated,10/17/2005,,,Geographic Population,8.1,,
Jo Daviess,117085,Geographic HPSA,Primary Care,0,IL,Withdrawn,10/01/1981,05/20/1985,,Geographic Population,7,,
Johnson County,1173807417,Geographic HPSA,Primary Care,12,IL,Designated,05/12/1978,,,Geographic Population,15.1,,
Lewistown/Astoria,1179991747,Geographic HPSA,Primary Care,0,IL,Withdrawn,09/25/1990,05/30/1997,,Geographic Population,16.8,,
Logan Square,1179991750,Geographic HPSA,Primary Care,14,IL,Withdrawn,07/21/1993,07/02/2018,,Geographic Population,15.6,,
London Mills,1179991722,Geographic HPSA,Primary Care,0,IL,Withdrawn,04/04/1979,03/19/1984,,Geographic Population,0,,
Lower West Side,1179991756,Geographic HPSA,Primary Care,0,IL,Withdrawn,05/12/1978,10/02/1995,,Geographic Population,27.8,,
Macoupin County,1172401815,Geographic HPSA,Primary Care,9,IL,Designated,05/30/1978,,,Geographic Population,12.4,,
Marissa Service Area,117999179N,Geographic HPSA,Primary Care,0,IL,Withdrawn,04/10/2008,08/06/2010,,Geographic Population,,,
Marshall County,1173931063,Geographic HPSA,Primary Care,11,IL,Designated,10/19/2001,,,Geographic Population,11.4,,
Mason County,1174451851,Geographic HPSA,Primary Care,12,IL,Designated,05/30/1978,,,Geographic Population,16.6,,
Menard County,1175977348,Geographic HPSA,Primary Care,10,IL,Designated,06/30/2005,,,Geographic Population,9.7,,
Mendota,1179991783,Geographic HPSA,Primary Care,0,IL,Withdrawn,08/12/1997,04/10/2007,,Geographic Population,7.1,,
Mendota,1175310412,Geographic HPSA,Primary Care,11,IL,Designated,01/22/2007,,,Geographic Population,13.2,,
Mercer County,1175085559,Geographic HPSA,Primary Care,7,IL,Designated,09/10/2001,,,Geographic Population,10.8,,
Minonk,1179991726,Geographic HPSA,Primary Care,0,IL,Withdrawn,05/30/1979,01/19/1981,,Geographic Population,0,,
Moultrie County,1177343323,Geographic HPSA,Primary Care,7,IL,Designated,08/18/2011,,,Geographic Population,14.3,,
Nashville,1179991777,Geographic HPSA,Primary Care,0,IL,Withdrawn,01/24/1996,01/04/2011,,Geographic Population,,,
Nauvoo,1179991733,Geographic HPSA,Primary Care,0,IL,Withdrawn,03/19/1981,03/19/1984,,Geographic Population,15,,
Near North Side,1179991712,Geographic HPSA,Primary Care,0,IL,Withdrawn,05/10/1978,10/02/1995,,Geographic Population,44,,
Near West Side,1179991752,Geographic HPSA,Primary Care,0,IL,Withdrawn,07/21/1978,06/22/1994,,Geographic Population,55.1,,
New City,1179991717,Geographic HPSA,Primary Care,0,IL,Withdrawn,07/11/1978,10/11/2002,,Geographic Population,35.3,,
North Lawndale,1179991753,Geographic HPSA,Primary Care,0,IL,Withdrawn,07/21/1978,09/20/1999,,Geographic Population,46.7,,
Northeast Springfield,1179991729,Geographic HPSA,Primary Care,0,IL,Withdrawn,12/14/1978,03/19/1984,,Geographic Population,0,,
Northend Champaign-Urbana,1179991708,Geographic HPSA,Primary Care,0,IL,Withdrawn,03/17/1978,10/02/1995,,Geographic Population,30,,
Oakland/Grand Boulevard/Kenwood/Wash. Park,1179991705,Geographic HPSA,Primary Care,0,IL,Withdrawn,05/12/1978,09/20/1999,,Geographic Population,55.2,,
Ogle County,117141,Geographic HPSA,Primary Care,9,IL,Withdrawn,09/22/2006,07/02/2018,,Geographic Population,11,,
Pembroke,1179991715,Geographic HPSA,Primary Care,0,IL,Withdrawn,08/09/1978,07/18/2011,,Geographic Population,,,
Phoenix,1179991709,Geographic HPSA,Primary Care,0,IL,Withdrawn,04/15/1978,03/19/1984,,Geographic Population,0,,
Piatt County,117147,Geographic HPSA,Primary Care,8,IL,Withdrawn,07/20/2007,07/02/2018,,Geographic Population,6.7,,
Pike/Scott Counties,1171176393,Geographic HPSA,Primary Care,9,IL,Designated,03/10/2005,,,Geographic Population,14.9,,
Polo,1179991770,Geographic HPSA,Primary Care,0,IL,Withdrawn,12/30/1994,09/25/2006,,Geographic Population,10.9,,
Princeville,1179991730,Geographic HPSA,Primary Care,0,IL,Withdrawn,11/16/1979,05/20/1985,,Geographic Population,9,,
Riverdale/West Pullman,1179991741,Geographic HPSA,Primary Care,0,IL,Withdrawn,04/06/1983,09/20/1999,,Geographic Population,28.7,,
Robbins Village,1179991704,Geographic HPSA,Primary Care,0,IL,Withdrawn,05/10/1978,01/26/1989,,Geographic Population,23,,
Robbins/Dixmoor/Harvey/Phoenix,117999176P,Geographic HPSA,Primary Care,0,IL,Withdrawn,12/08/2005,06/07/2011,,Geographic Population,,,
Rockford Westside,1179991731,Geographic HPSA,Primary Care,0,IL,Withdrawn,12/08/1978,03/30/2007,,Geographic Population,40.5,,
Rogers Park,117999171K,Geographic HPSA,Primary Care,15,IL,Withdrawn,05/27/2003,07/02/2018,,Geographic Population,21,,
Roseland/Pullman/Burnside,1176930946,Geographic HPSA,Primary Care,9,IL,Designated,10/26/1983,,,Geographic Population,30.5,,
Salem,1179991735,Geographic HPSA,Primary Care,0,IL,Withdrawn,03/26/1981,10/02/1995,,Geographic Population,0,,
Shelby County,1174173698,Geographic HPSA,Primary Care,11,IL,Designated,09/14/1998,,,Geographic Population,11.5,,
South Deering,1174489305,Geographic HPSA,Primary Care,14,IL,Designated,10/08/1981,,,Geographic Population,29.9,,
South Lawndale,1179991706,Geographic HPSA,Primary Care,0,IL,Withdrawn,05/12/1978,03/05/2003,,Geographic Population,24,,
South Peoria,1179991725,Geographic HPSA,Primary Care,0,IL,Withdrawn,01/12/1979,12/31/1996,,Geographic Population,43.9,,
South Shore,1179991732,Geographic HPSA,Primary Care,0,IL,Withdrawn,06/20/1978,06/22/1994,,Geographic Population,27.9,,
Stockton/Warren,1179991743,Geographic HPSA,Primary Care,0,IL,Withdrawn,05/20/1985,05/22/2012,,Geographic Population,,,
Streator Service Area,1173136549,Geographic HPSA,Primary Care,7,IL,Designated,03/20/2008,,,Geographic Population,13.2,,
Uptown,1179991707,Geographic HPSA,Primary Care,0,IL,Withdrawn,03/10/1978,10/02/1995,,Geographic Population,33.5,,
Washington County,1174775647,Geographic HPSA,Primary Care,15,IL,Designated,06/15/1990,,,Geographic Population,12.2,,
Waukegan/North Chicago Area,117999171U,Geographic HPSA,Primary Care,0,IL,Withdrawn,06/08/2001,05/11/2007,,Geographic Population,22.4,,
West Englewood/Englewood,1173964527,Geographic HPSA,Primary Care,11,IL,Designated,07/11/1978,,,Geographic Population,43.8,,
West Town,1179991755,Geographic HPSA,Primary Care,0,IL,Withdrawn,03/19/1984,10/02/1995,,Geographic Population,32.6,,
West/East Garfield Park,1179991751,Geographic HPSA,Primary Care,0,IL,Withdrawn,07/21/1978,09/20/1999,,Geographic Population,44.3,,
Western Jackson,1179991723,Geographic HPSA,Primary Care,0,IL,Withdrawn,01/10/1979,03/24/1988,,Geographic Population,22,,
White,117193,Geographic HPSA,Primary Care,0,IL,Withdrawn,09/07/2004,02/23/2009,,Geographic Population,12.5,,
Woodford County,1171603410,Geographic HPSA,Primary Care,8,IL,Designated,07/29/2005,,,Geographic Population,8,,
Alexander/Pulaski Counties,1174979579,High Needs Geographic HPSA,Primary Care,18,IL,Designated,03/26/1981,,,Geographic Population,28.7,,
Rogers Park,1178179821,High Needs Geographic HPSA,Primary Care,14,IL,Designated,12/01/2017,,,Geographic Population,27.2,,
South Chicago/South Shore,1179991738,High Needs Geographic HPSA,Primary Care,15,IL,Withdrawn,10/08/1981,07/02/2018,,Geographic Population,24,,
Adams County,1189856255,Geographic HPSA,Primary Care,13,IN,Designated,10/04/2013,,,Geographic Population,18.3,,
Barrington(Indianapolis),1189991809,Geographic HPSA,Primary Care,0,IN,Withdrawn,04/05/1978,03/16/1984,,Geographic Population,0,,
Benton,118007,Geographic HPSA,Primary Care,0,IN,Withdrawn,03/26/1992,06/13/2011,,Geographic Population,,,
Benton County,1187515108,Geographic HPSA,Primary Care,15,IN,Designated,12/27/2017,,,Geographic Population,13.4,,
Bicknell,1189991805,Geographic HPSA,Primary Care,0,IN,Withdrawn,11/01/1979,09/15/2000,,Geographic Population,13.7,,
Blackburn (Indianapolis),1189991827,Geographic HPSA,Primary Care,0,IN,Withdrawn,03/31/1994,09/15/2000,,Geographic Population,33.4,,
Blackburn Service Area,1189991845,Geographic HPSA,Primary Care,0,IN,Withdrawn,09/16/2002,06/29/2012,,Geographic Population,,,
Blackford County,118009,Geographic HPSA,Primary Care,9,IN,Withdrawn,12/20/2011,06/26/2017,,Geographic Population,,,
Brown County,118013,Geographic HPSA,Primary Care,9,IN,Withdrawn,12/21/2011,07/01/2016,,Geographic Population,,,
Brown-Monroe Counties,1182511086,Geographic HPSA,Primary Care,13,IN,Withdrawn,12/03/2015,07/02/2018,,Geographic Population,23.7,,
Carroll County,1181590238,Geographic HPSA,Primary Care,13,IN,Designated,04/28/2014,,,Geographic Population,10.1,,
Clay,118021,Geographic HPSA,Primary Care,0,IN,Withdrawn,05/27/1981,08/01/1989,,Geographic Population,11.8,,
Clinton County,1184070753,Geographic HPSA,Primary Care,9,IN,Designated,04/28/2014,,,Geographic Population,12.9,,
Crawford County,1188694967,Geographic HPSA,Primary Care,15,IN,Designated,12/27/2017,,,Geographic Population,17.8,,
Daviess,118027,Geographic HPSA,Primary Care,0,IN,Withdrawn,07/22/1999,08/19/2008,,Geographic Population,13.8,,
Daviess County,1187156357,Geographic HPSA,Primary Care,7,IN,Designated,12/27/2017,,,Geographic Population,12.7,,
Decatur,118031,Geographic HPSA,Primary Care,0,IN,Withdrawn,05/01/1979,08/01/1989,,Geographic Population,11,,
Dekalb County,118033,Geographic HPSA,Primary Care,5,IN,Withdrawn,05/22/2012,07/02/2018,,Geographic Population,,,
Elizabeth,1189991814,Geographic HPSA,Primary Care,0,IN,Withdrawn,09/27/1984,02/20/2002,,Geographic Population,8.4,,
Elkhart County,118039,Geographic HPSA,Primary Care,9,IN,Withdrawn,07/23/2013,07/02/2018,,Geographic Population,,,
Elkhart Inner City,1189991857,Geographic HPSA,Primary Care,0,IN,Withdrawn,04/19/2004,09/01/2009,,Geographic Population,12.8,,
English,1189991811,Geographic HPSA,Primary Care,0,IN,Withdrawn,02/28/1983,08/20/1990,,Geographic Population,21,,
Fayette,118041,Geographic HPSA,Primary Care,0,IN,Withdrawn,07/12/1978,09/26/1988,,Geographic Population,11,,
Fountain County,1185297756,Geographic HPSA,Primary Care,8,IN,Designated,07/19/2017,,,Geographic Population,12,,
Fountain County,118045,Geographic HPSA,Primary Care,12,IN,Withdrawn,11/08/1994,07/02/2018,,Geographic Population,8.3,,
Franklin,118047,Geographic HPSA,Primary Care,0,IN,Withdrawn,07/12/1978,11/03/2011,,Geographic Population,,,
Fredricksburg,1189991812,Geographic HPSA,Primary Care,0,IN,Withdrawn,02/28/1983,02/04/1999,,Geographic Population,14.8,,
Fulton,118049,Geographic HPSA,Primary Care,0,IN,Withdrawn,03/16/1984,10/28/1992,,Geographic Population,10.3,,
Fulton County,1184800334,Geographic HPSA,Primary Care,10,IN,Designated,07/18/2018,,,Geographic Population,14,,
Greene,118055,Geographic HPSA,Primary Care,0,IN,Withdrawn,03/24/2003,04/19/2012,,Geographic Population,,,
Greene County,1186472418,Geographic HPSA,Primary Care,13,IN,Designated,12/16/2016,,,Geographic Population,13.7,,
Harrison,118061,Geographic HPSA,Primary Care,0,IN,Withdrawn,05/22/1978,02/28/1983,,Geographic Population,8,,
Harrison/Lewis,1189991850,Geographic HPSA,Primary Care,6,IN,Withdrawn,04/11/2003,01/11/2013,,Geographic Population,,,
Highland-Brookside (Indianapolis),1189991803,Geographic HPSA,Primary Care,0,IN,Withdrawn,07/12/1978,11/03/2011,,Geographic Population,,,
Howard,118067,Geographic HPSA,Primary Care,0,IN,Withdrawn,07/12/1978,03/16/1984,,Geographic Population,8,,
Inner City Kokomo,1189991897,Geographic HPSA,Primary Care,0,IN,Withdrawn,05/29/2007,04/24/2012,,Geographic Population,,,
Jasper County,1187760372,Geographic HPSA,Primary Care,7,IN,Designated,12/29/2015,,,Geographic Population,8.3,,
Jay County,118075,Geographic HPSA,Primary Care,6,IN,Withdrawn,05/29/2013,07/02/2018,,Geographic Population,,,
Jay County,1184217341,Geographic HPSA,Primary Care,15,IN,Designated,06/14/2017,,,Geographic Population,15.5,,
Lagrange County,1183947553,Geographic HPSA,Primary Care,8,IN,Designated,10/26/2011,,,Geographic Population,15.3,,
Lawrenceburg,1189991810,Geographic HPSA,Primary Care,0,IN,Withdrawn,12/15/1978,05/27/1981,,Geographic Population,11,,
Linton-Jasonville,1189991802,Geographic HPSA,Primary Care,0,IN,Withdrawn,08/24/1979,05/08/1985,,Geographic Population,13,,
Martin County,118101,Geographic HPSA,Primary Care,7,IN,Withdrawn,07/23/2013,07/02/2018,,Geographic Population,,,
Martin County,1189260958,Geographic HPSA,Primary Care,8,IN,Designated,07/19/2017,,,Geographic Population,13.8,,
Morgan County,118109,Geographic HPSA,Primary Care,7,IN,Withdrawn,10/17/2013,07/02/2018,,Geographic Population,,,
Newton County,1188986453,Geographic HPSA,Primary Care,15,IN,Designated,05/05/1993,,,Geographic Population,11.8,,
Noble County,1183859088,Geographic HPSA,Primary Care,5,IN,Designated,06/16/2017,,,Geographic Population,12.7,,
Noble County,118113,Geographic HPSA,Primary Care,6,IN,Withdrawn,08/12/1994,07/02/2018,,Geographic Population,7.3,,
Northern Vermillion,1189991801,Geographic HPSA,Primary Care,0,IN,Withdrawn,07/24/1979,09/15/2000,,Geographic Population,13.9,,
Ohio County,1189997675,Geographic HPSA,Primary Care,10,IN,Designated,04/12/2012,,,Geographic Population,8.4,,
Osgood/Versailles,1189991823,Geographic HPSA,Primary Care,0,IN,Withdrawn,12/26/1989,11/03/2011,,Geographic Population,,,
Owen County,1185396043,Geographic HPSA,Primary Care,13,IN,Designated,08/14/2013,,,Geographic Population,14.8,,
Pike,118125,Geographic HPSA,Primary Care,0,IN,Withdrawn,10/15/1984,08/16/2011,,Geographic Population,,,
Posey County,118129,Geographic HPSA,Primary Care,13,IN,Withdrawn,04/28/2014,07/02/2018,,Geographic Population,,,
Posey County,1181872554,Geographic HPSA,Primary Care,7,IN,Designated,07/19/2017,,,Geographic Population,11.3,,
Pulaski County,118131,Geographic HPSA,Primary Care,8,IN,Withdrawn,07/23/2013,07/02/2018,,Geographic Population,,,
Putnam County,1185048045,Geographic HPSA,Primary Care,7,IN,Designated,12/27/2017,,,Geographic Population,9.4,,
Randolph County,1187444099,Geographic HPSA,Primary Care,10,IN,Designated,06/26/2017,,,Geographic Population,16.8,,
Ripley,118137,Geographic HPSA,Primary Care,0,IN,Withdrawn,05/27/1981,08/01/1989,,Geographic Population,10,,
Salem,1189991822,Geographic HPSA,Primary Care,0,IN,Withdrawn,12/14/1987,11/16/1990,,Geographic Population,0,,
Shelby,118145,Geographic HPSA,Primary Care,0,IN,Withdrawn,05/23/1978,03/16/1984,,Geographic Population,7.2,,
Southwest South Bend Service Area,1189991817,Geographic HPSA,Primary Care,11,IN,Withdrawn,02/04/1986,12/11/2012,,Geographic Population,,,
Steuben County,1186471309,Geographic HPSA,Primary Care,8,IN,Designated,11/10/2011,,,Geographic Population,11.3,,
Sullivan,118153,Geographic HPSA,Primary Care,0,IN,Withdrawn,06/17/1992,02/20/2002,,Geographic Population,12.5,,
Sullivan County,1182233139,Geographic HPSA,Primary Care,11,IN,Designated,06/24/2016,,,Geographic Population,18.3,,
